POS.,MARCA,TOTAL 2026,MAR 26 (A),% MAR 26,FEV 26 (B),% FEV 26,MAR 25 (C),% VARIAÇÃO (A / B),% VARIAÇÃO (A / C)
1º,FIAT,126.609,52.680,"20,40%",39.670,"22,44%",38.874,"32,80%","35,51%"
2º,VW,97.063,42.220,"16,35%",29.108,"16,47%",30.273,"45,05%","39,46%"
3º,CHEVROLET,61.172,28.135,"10,90%",16.874,"9,55%",20.162,"66,74%","39,54%"
4º,HYUNDAI,41.499,19.157,"7,42%",12.139,"6,87%",12.731,"57,81%","50,48%"
5º,BYD,37.634,16.412,"6,36%",11.430,"6,47%",8.061,"43,59%","103,60%"
6º,TOYOTA,36.042,16.020,"6,20%",10.469,"5,92%",14.691,"53,02%","9,05%"
7º,RENAULT,29.866,12.481,"4,83%",9.601,"5,43%",11.404,"30,00%","9,44%"
8º,JEEP,27.243,10.117,"3,92%",8.236,"4,66%",8.170,"22,84%","23,83%"
9º,HONDA,24.205,9.910,"3,84%",7.574,"4,28%",8.227,"30,84%","20,46%"
10º,NISSAN,18.302,8.788,"3,40%",4.955,"2,80%",6.870,"77,36%","27,92%"
11º,CAOA CHERY,15.720,8.771,"3,40%",3.401,"1,92%",3.872,"157,89%","126,52%"
12º,GWM,15.912,6.600,"2,56%",4.898,"2,77%",2.092,"34,75%","215,49%"
13º,FORD,12.555,5.040,"1,95%",3.562,"2,01%",3.645,"41,49%","38,27%"
14º,CITROËN,7.657,2.873,"1,11%",2.248,"1,27%",3.369,"27,80%","-14,72%"
15º,RAM,6.853,2.595,"1,00%",2.035,"1,15%",2.181,"27,52%","18,98%"
16º,OMODA / JAECOO*,5.972,2.451,"0,95%",1.834,"1,04%",-,"33,64%",-
17º,PEUGEOT,4.638,1.929,"0,75%",1.175,"0,66%",1.676,"64,17%","15,10%"
18º,MITSUBISHI,4.413,1.712,"0,66%",1.350,"0,76%",2.096,"26,81%","-18,32%"
19º,BMW,3.516,1.453,"0,56%",1.103,"0,62%",1.188,"31,73%","22,31%"
20º,GEELY*,3.134,1.375,"0,53%",422,"0,24%",-,"225,83%",-
...,...,...,...,...,...,...,...,...,...
TOTAL,597.565,258.223,"100,00%",176.782,"100,00%",184.141,"46,07%","40,23%",
